SerialNo,ParliamentConstituency,WinningCandidate,TotalVotes,Margin
145,JALORE (18),LUMBARAM,796783,201543
146,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
147,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
148,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
149,BHILWARA(23),DAMODAR AGARWAL,807640,354606
150,KOTA(24),OM BIRLA,750496,41974
151,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
152,Tripura West(1),BIPLAB KUMAR DEB,881341,611578
153,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
154,Amroha(9),KANWAR SINGH TANWAR,476506,28670
155,Meerut(10),ARUN GOVIL,546469,10585
156,Ghaziabad(12),ATUL GARG,854170,336965
157,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
158,Bulandshahr(14),DR BHOLA SINGH,597310,275134
159,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
160,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
161,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
162,Agra(18),PROF S P SINGH BAGHEL,599397,271294
163,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
164,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
165,Pilibhit(26),JITIN PRASADA,607158,164935
166,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
167,Hardoi(31),JAI PRAKASH,486798,27856
168,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
169,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
170,Lucknow(35),RAJ NATH SINGH,612709,135159
171,Farrukhabad(40),MUKESH RAJPUT,487963,2678
172,Kanpur(43),RAMESH AWASTHI,443055,20968
173,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
174,Jhansi(46),ANURAG SHARMA,690316,102614
175,Phulpur(51),PRAVEEN PATEL,452600,4332
176,Baharaich(56),ANAND KUMAR,518802,64227
177,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
178,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
179,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
180,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
181,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
182,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
183,Deoria(66),SHASHANK MANI,504541,34842
184,Bansgaon(67),KAMLESH PASWAN,428693,3150
185,Varanasi(77),NARENDRA MODI,612970,152513
186,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
187,Alipurduars(2),MANOJ TIGGA,695314,75447
188,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
189,Darjeeling(4),RAJU BISTA,679331,178525
190,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
191,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
192,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
193,Ranaghat(13),JAGANNATH SARKAR,782396,186899
194,Bangaon(14),SHANTANU THAKUR,719505,73693
195,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
196,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
197,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
198,Bishnupur(37),KHAN SAUMITRA,680130,5567
199,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
200,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
201,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
202,BILASPUR(5),TOKHAN SAHU,724937,164558
203,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
204,DURG(7),VIJAY BAGHEL,956497,438226
205,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
206,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
207,BASTAR(10),MAHESH KASHYAP,458398,55245
208,KANKER(11),BHOJRAJ NAG,597624,1884
209,Godda(3),NISHIKANT DUBEY,693140,101813
210,Chatra(4),KALI CHARAN SINGH,574556,220959
211,Kodarma(5),ANNPURNA DEVI,791657,377014
212,Dhanbad(7),DULU MAHATO,789172,331583
213,Ranchi(8),SANJAY SETH,664732,120512
214,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
215,Palamau(13),VISHNU DAYAL RAM,770362,288807
216,Hazaribagh(14),MANISH JAISWAL,654613,276686
217,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
218,Garhwal(2),ANIL BALUNI,432159,163503
219,Almora(3),AJAY TAMTA,429167,234097
220,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
221,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
222,Adilabad (1),GODAM NAGESH,568168,90652
223,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
224,Nizamabad(4),ARVIND DHARMAPURI,592318,109241
225,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
226,Malkajgiri(7),EATALA RAJENDER,991042,391475
227,Secunderabad(8),G. KISHAN REDDY,473012,49944
228,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
229,Mahbubnagar(11),ARUNA. D. K,510747,4500
230,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396
231,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
232,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
233,North-East Delhi(2),MANOJ TIWARI,824451,138778
234,East Delhi(3),HARSH MALHOTRA,664819,93663
235,New Delhi(4),BANSURI SWARAJ,453185,78370
236,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
237,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
238,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
239,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373
240,JAMMU(5),JUGAL KISHORE,687588,135498
1,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583
1,Bijnor(4),CHANDAN CHAUHAN,404493,37508
2,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459
1,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928
2,NAGAPATTINAM(29),SELVARAJ V,465044,208957
1,VILUPPURAM(13),RAVIKUMAR. D,477033,70703
2,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554
1,Mandya(20),H.D. KUMARASWAMY,851881,284620
2,Kolar(28),M. MALLESH BABU,691481,71388
1,Arrah(32),SUDAMA PRASAD,529382,59808
2,Karakat(35),RAJA RAM SINGH,380581,105858
1,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264
2,Dumka(2),NALIN SOREN,547370,22527
3,Singhbhum(10),JOBA MAJHI,520164,168402
1,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416
2,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794
1,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351
1,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
2,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179
